date,zhvi
1/31/1996,93518
2/29/1996,93633
3/31/1996,93636
4/30/1996,93811
5/31/1996,93966
6/30/1996,94079
7/31/1996,94126
8/31/1996,94220
9/30/1996,94436
10/31/1996,94701
11/30/1996,95017
12/31/1996,95344
1/31/1997,95284
2/28/1997,95039
3/31/1997,94827
4/30/1997,94820
5/31/1997,94841
6/30/1997,94967
7/31/1997,95173
8/31/1997,95360
9/30/1997,95427
10/31/1997,95474
11/30/1997,95613
12/31/1997,95755
1/31/1998,96390
2/28/1998,97053
3/31/1998,97762
4/30/1998,98041
5/31/1998,98338
6/30/1998,98557
7/31/1998,98790
8/31/1998,98959
9/30/1998,99146
10/31/1998,99333
11/30/1998,99277
12/31/1998,99209
1/31/1999,99261
2/28/1999,99812
3/31/1999,100627
4/30/1999,101439
5/31/1999,102151
6/30/1999,102770
7/31/1999,103385
8/31/1999,103992
9/30/1999,104449
10/31/1999,104847
11/30/1999,105267
12/31/1999,105749
1/31/2000,106168
2/29/2000,106308
3/31/2000,106252
4/30/2000,106293
5/31/2000,106310
6/30/2000,106494
7/31/2000,106681
8/31/2000,107047
9/30/2000,107434
10/31/2000,107704
11/30/2000,108209
12/31/2000,108701
1/31/2001,108952
2/28/2001,108987
3/31/2001,108663
4/30/2001,108544
5/31/2001,108565
6/30/2001,108733
7/31/2001,108874
8/31/2001,108757
9/30/2001,108868
10/31/2001,109168
11/30/2001,109429
12/31/2001,109634
1/31/2002,109806
2/28/2002,110115
3/31/2002,110643
4/30/2002,111262
5/31/2002,111811
6/30/2002,112313
7/31/2002,112767
8/31/2002,113375
9/30/2002,113867
10/31/2002,114226
11/30/2002,114543
12/31/2002,114778
1/31/2003,115149
2/28/2003,115266
3/31/2003,115318
4/30/2003,115341
5/31/2003,115420
6/30/2003,115761
7/31/2003,115932
8/31/2003,116312
9/30/2003,116483
10/31/2003,116815
11/30/2003,117059
12/31/2003,117421
1/31/2004,117875
2/29/2004,118836
3/31/2004,120304
4/30/2004,121433
5/31/2004,122578
6/30/2004,122903
7/31/2004,123779
8/31/2004,124290
9/30/2004,125152
10/31/2004,125864
11/30/2004,126519
12/31/2004,127309
1/31/2005,127978
2/28/2005,128631
3/31/2005,128817
4/30/2005,129015
5/31/2005,128828
6/30/2005,129033
7/31/2005,128962
8/31/2005,128998
9/30/2005,128821
10/31/2005,128615
11/30/2005,128739
12/31/2005,128687
1/31/2006,128913
2/28/2006,128924
3/31/2006,129169
4/30/2006,129307
5/31/2006,129793
6/30/2006,130181
7/31/2006,130661
8/31/2006,131035
9/30/2006,131564
10/31/2006,132139
11/30/2006,132511
12/31/2006,132885
1/31/2007,133166
2/28/2007,133227
3/31/2007,133101
4/30/2007,133172
5/31/2007,133427
6/30/2007,133835
7/31/2007,133910
8/31/2007,134231
9/30/2007,134507
10/31/2007,134768
11/30/2007,134970
12/31/2007,135142
1/31/2008,134871
2/29/2008,134335
3/31/2008,133706
4/30/2008,133241
5/31/2008,132514
6/30/2008,131732
7/31/2008,131156
8/31/2008,130609
9/30/2008,129984
10/31/2008,129462
11/30/2008,128653
12/31/2008,127773
1/31/2009,127114
2/28/2009,127111
3/31/2009,127112
4/30/2009,126952
5/31/2009,126822
6/30/2009,127002
7/31/2009,127397
8/31/2009,127648
9/30/2009,127648
10/31/2009,127350
11/30/2009,127385
12/31/2009,127529
1/31/2010,127564
2/28/2010,127372
3/31/2010,127497
4/30/2010,127711
5/31/2010,127788
6/30/2010,127292
7/31/2010,126217
8/31/2010,124908
9/30/2010,123995
10/31/2010,123437
11/30/2010,123305
12/31/2010,123019
1/31/2011,122593
2/28/2011,121887
3/31/2011,120769
4/30/2011,119869
5/31/2011,119103
6/30/2011,118727
7/31/2011,118551
8/31/2011,118598
9/30/2011,118588
10/31/2011,118608
11/30/2011,117931
12/31/2011,117526
1/31/2012,117342
2/29/2012,117597
3/31/2012,117900
4/30/2012,117867
5/31/2012,117985
6/30/2012,118138
7/31/2012,118605
8/31/2012,119024
9/30/2012,119368
10/31/2012,119504
11/30/2012,120063
12/31/2012,120641
1/31/2013,121448
2/28/2013,122251
3/31/2013,123619
4/30/2013,125255
5/31/2013,126787
6/30/2013,127930
7/31/2013,129056
8/31/2013,130244
9/30/2013,131574
10/31/2013,133022
11/30/2013,134485
12/31/2013,135808
1/31/2014,136983
2/28/2014,138156
3/31/2014,138913
4/30/2014,139729
5/31/2014,140554
6/30/2014,141954
7/31/2014,143361
8/31/2014,145041
9/30/2014,146664
10/31/2014,148093
11/30/2014,149331
12/31/2014,150588
1/31/2015,151804
2/28/2015,152863
3/31/2015,154172
4/30/2015,155428
5/31/2015,156596
6/30/2015,157371
7/31/2015,157849
8/31/2015,158346
9/30/2015,158785
10/31/2015,159577
11/30/2015,160023
12/31/2015,160517
1/31/2016,161392
2/29/2016,162316
3/31/2016,162904
4/30/2016,162970
5/31/2016,163390
6/30/2016,164033
7/31/2016,165015
8/31/2016,165519
9/30/2016,166004
10/31/2016,166277
11/30/2016,167231
12/31/2016,168244
1/31/2017,168683
2/28/2017,169114
3/31/2017,169666
4/30/2017,170584
5/31/2017,171143
6/30/2017,171600
7/31/2017,171850
8/31/2017,172077
9/30/2017,172432
10/31/2017,172879
11/30/2017,173417
12/31/2017,173881
1/31/2018,174512
2/28/2018,175029
3/31/2018,175622
4/30/2018,176576
5/31/2018,177582
6/30/2018,178431
7/31/2018,179143
8/31/2018,180035
9/30/2018,181123
10/31/2018,181971
11/30/2018,182803
12/31/2018,183599
1/31/2019,184924
2/28/2019,185949
3/31/2019,186410
4/30/2019,186294
5/31/2019,186369
6/30/2019,186844
7/31/2019,187464
8/31/2019,188070
9/30/2019,188496
10/31/2019,189125
11/30/2019,189612
12/31/2019,190179
1/31/2020,190395
2/29/2020,190938
3/31/2020,191907
